t|position (voice or narrator)|storyline
6|narrator|Somewhere in space...
9|narrator|...a space ship, flying through a vast, uncharted territory...
6|voice0|Captain!
6|voice1|...zzZZZzzz... what? Who is it?
5|voice0|We get signal!
7|voice1|Argh, what are you talking about?
8|voice0|Our radar has an abnormal behaviour.
8|voice0|It shows an extraordinary high ion exchange!
5|voice1|(quiet grunting)
7|voice1|Has Jenkins been playing with gamma rays again?
7|voice0|Jenkins is sick and was in bed all day.
5|voice1|*%/*@&)&*#&= @&(%*&$%/&
6|voice0|...so, what are your orders?
7|voice1|Can you please keep watch while I finish my breakfast?
5|voice0|Yes Sir! (Exit.)
8|voice1|*sigh* You've got to do it all by yourself... (munching)
10|narrator|It's on you! Defend your ship! (press space to shoot)
